Date,Branch_Type,Daily_Sales,Customer_Count,Discount_Percentage,Product_Category,Feedback_Score
2026-02-20,Rural,41815.87,173,25.52,Home Appliances,3.84
2026-02-21,Rural,44011.41,116,10.17,Electronics,4.64
2026-02-22,Rural,42247.93,61,6.78,Home Appliances,3.63
2026-02-23,Rural,35285.08,142,7.95,Electronics,4.51
2026-02-24,Rural,47196.8,163,23.38,Electronics,4.18
2026-02-25,Rural,45978.35,150,29.76,Home Appliances,4.37
2026-02-26,Urban,63498.98,125,13.52,Clothing,3.65
2026-02-27,Urban,58880.3,126,23.5,Grocery,3.33
2026-02-28,Urban,57695.67,194,17.41,Electronics,2.65
2026-03-01,Urban,46693.12,175,6.34,Electronics,3.82
2026-03-02,Urban,49560.64,236,28.75,Home Appliances,3.63
2026-03-03,Urban,69210.86,141,16.21,Grocery,4.64
2026-03-04,Rural,28474.78,74,28.65,Home Appliances,4.16
2026-03-05,Urban,68323.0,146,29.22,Electronics,4.24
2026-03-06,Urban,52810.65,163,25.96,Clothing,4.05
2026-03-07,Urban,47451.02,230,27.3,Clothing,3.19
2026-03-08,Urban,37765.11,94,19.53,Electronics,4.05
2026-03-09,Rural,37461.05,114,27.69,Electronics,4.28
2026-03-10,Urban,63938.53,221,17.04,Home Appliances,3.43
2026-03-11,Rural,33666.24,140,15.86,Electronics,3.3
2026-03-12,Rural,42581.75,175,23.65,Electronics,3.5
2026-03-13,Urban,51021.16,181,12.14,Home Appliances,4.24
2026-03-14,Urban,54016.83,250,6.84,Grocery,4.01
2026-03-15,Rural,34385.49,69,29.9,Clothing,3.42
2026-03-16,Rural,51494.04,167,27.88,Clothing,3.58
2026-03-17,Rural,39112.54,65,20.5,Home Appliances,4.59
2026-03-18,Rural,38738.21,171,13.83,Clothing,3.19
2026-03-19,Urban,34785.64,117,25.34,Home Appliances,4.22
2026-03-20,Urban,50894.9,246,19.53,Electronics,4.39
2026-03-21,Urban,62614.96,99,29.68,Electronics,3.72
2026-03-22,Rural,26294.92,60,29.25,Grocery,4.81
2026-03-23,Rural,42739.66,147,23.75,Grocery,5.0
2026-03-24,Urban,47949.41,112,16.26,Clothing,4.37
2026-03-25,Urban,53082.66,90,10.72,Electronics,4.31
2026-03-26,Urban,51985.28,121,16.91,Grocery,3.74
2026-03-27,Urban,5000.0,212,29.2,Clothing,3.66
2026-03-28,Rural,35493.93,106,15.51,Electronics,5.0
2026-03-29,Rural,49196.98,134,27.58,Home Appliances,4.32
2026-03-30,Rural,52884.63,87,18.87,Grocery,4.76
2026-03-31,Urban,33736.92,141,27.76,Clothing,5.0
2026-04-01,Urban,36669.56,195,16.48,Clothing,3.97
2026-04-02,Rural,23460.46,55,20.84,Home Appliances,3.95
2026-04-03,Rural,22600.94,164,19.62,Grocery,5.0
2026-04-04,Rural,32735.57,167,22.41,Electronics,4.34
2026-04-05,Rural,56440.74,145,9.31,Clothing,3.81
2026-04-06,Urban,44660.51,140,7.22,Electronics,3.66
2026-04-07,Urban,39093.2,222,14.11,Clothing,3.89
2026-04-08,Urban,46372.86,134,17.03,Clothing,3.84
2026-04-09,Urban,50989.05,145,25.16,Electronics,3.87
2026-04-10,Urban,47225.49,188,14.26,Clothing,3.65
2026-04-11,Urban,38363.28,103,16.56,Electronics,4.82
2026-04-12,Rural,46934.79,63,23.74,Home Appliances,4.28
2026-04-13,Urban,65714.09,107,11.06,Electronics,2.53
2026-04-14,Urban,50317.85,208,13.05,Grocery,3.97
2026-04-15,Rural,33814.2,135,27.26,Home Appliances,3.79
2026-04-16,Urban,61497.98,114,17.46,Grocery,4.39
2026-04-17,Urban,55614.05,200,19.66,Home Appliances,4.99
2026-04-18,Rural,27815.39,132,27.49,Home Appliances,3.32
2026-04-19,Urban,52249.22,148,10.93,Clothing,4.08
2026-04-20,Urban,47877.01,110,9.02,Grocery,3.62
2026-04-21,Urban,59177.36,151,5.13,Clothing,4.09
2026-04-22,Urban,68156.48,202,25.52,Clothing,3.96
2026-04-23,Rural,26030.71,128,25.96,Electronics,5.0
2026-04-24,Rural,45124.66,119,18.25,Electronics,3.51
2026-04-25,Rural,38292.22,139,17.65,Grocery,4.08
2026-04-26,Rural,47055.44,149,14.23,Home Appliances,2.99
2026-04-27,Rural,55976.07,59,10.04,Home Appliances,5.0
2026-04-28,Urban,73508.9,219,24.86,Grocery,3.64
2026-04-29,Rural,43612.13,98,15.21,Electronics,4.39
2026-04-30,Urban,58012.91,209,23.04,Home Appliances,3.89
